Symbol,ftp_nasdaqtrader,nasdaq_screener_api,nasdaq_traded_list,nasdaq_listed_list,yahoo_nasdaq_tickers
AGAE,1,1,1,1,0
AGCO,1,0,1,0,0
AGD,1,0,1,0,0
AGEN,1,1,1,1,0
AGFY,1,1,1,1,0
AGG,1,0,1,0,0
AGGH,1,0,1,0,0
AGGS,1,0,1,0,0
AGGY,1,0,1,0,0
AGI,1,0,1,0,0
AGIH,1,0,1,0,0
AGIO,1,1,1,1,0
AGIX,1,0,1,1,0
AGL,1,0,1,0,0
AGM,1,0,1,0,0
AGM$D,1,0,1,0,0
AGM$E,1,0,1,0,0
AGM$F,1,0,1,0,0
AGM$G,1,0,1,0,0
AGM.A,1,0,1,0,0
AGMH,1,1,1,1,0
AGMI,1,0,1,1,0
AGNC,1,1,1,1,0
AGNCL,1,1,1,1,0
AGNCM,1,1,1,1,0
AGNCN,1,1,1,1,0
AGNCO,1,1,1,1,0
AGNCP,1,1,1,1,0
AGNG,1,0,1,1,0
AGO,1,0,1,0,0
AGOX,1,0,1,0,0
AGQ,1,0,1,0,0
AGQI,1,0,1,0,0
AGRH,1,0,1,0,0
AGRI,1,1,1,1,0
AGRO,1,0,1,0,0
AGS,1,0,1,0,0
AGX,1,0,1,0,0
AGYS,1,1,1,1,0
AGZ,1,0,1,0,0
AGZD,1,0,1,1,0
AHCO,1,1,1,1,0
AHG,1,1,1,1,0
AHH,1,0,1,0,0
AHH$A,1,0,1,0,0
AHL$D,1,0,1,0,0
AHL$E,1,0,1,0,0
AHL$F,1,0,1,0,0
AHLT,1,0,1,0,0
AHR,1,0,1,0,0
AHT,1,0,1,0,0
AHT$D,1,0,1,0,0
AHT$F,1,0,1,0,0
AHT$G,1,0,1,0,0
AHT$H,1,0,1,0,0
AHT$I,1,0,1,0,0
AHYB,1,0,1,0,0
AI,1,0,1,0,0
AIA,1,0,1,1,0
AIBD,1,0,1,0,0
AIBU,1,0,1,0,0
AIEQ,1,0,1,0,0
AIEV,1,1,1,1,0
AIFD,1,0,1,0,0
AIFF,1,1,1,1,0
AIFU,1,1,1,1,0
AIG,1,0,1,0,0
AIHS,1,1,1,1,0
AIM,1,0,1,0,0
AIMAU,1,1,1,1,0
AIMAW,1,1,1,1,0
AIMBU,1,1,1,1,0
AIMD,1,1,1,1,0
AIMDW,1,1,1,1,0
AIN,1,0,1,0,0
AINP,1,0,1,0,0
AIO,1,0,1,0,0
AIOT,1,1,1,1,0
AIP,1,1,1,1,0
AIPI,1,0,1,1,0
AIQ,1,0,1,1,0
AIR,1,0,1,0,0
AIRE,1,1,1,1,0
AIRG,1,1,1,1,0
AIRI,1,0,1,0,0
AIRJ,1,1,1,1,0
AIRJW,1,1,1,1,0
AIRL,1,0,1,1,0
AIRR,1,0,1,1,0
AIRS,1,1,1,1,0
AIRT,1,1,1,1,0
AIRTP,1,1,1,1,0
AIS,1,0,1,0,0
AISP,1,1,1,1,0
AISPW,1,1,1,1,0
AIT,1,0,1,0,0
AITR,1,1,1,1,0
AITRR,1,1,1,1,0
AITRU,1,1,1,1,0
AIV,1,0,1,0,0
AIVC,1,0,1,0,0
AIVI,1,0,1,0,0
AIVL,1,0,1,0,0
AIXI,1,1,1,1,0
AIYY,1,0,1,0,0
AIZ,1,0,1,0,0
AIZN,1,0,1,0,0
AJAN,1,0,1,0,0
AJG,1,0,1,0,0
AJUL,1,0,1,0,0
AKA,1,0,1,0,0
AKAM,1,1,1,1,0
AKAN,1,1,1,1,0
AKBA,1,1,1,1,0
AKO.A,1,0,1,0,0
AKO.B,1,0,1,0,0
AKR,1,0,1,0,0
AKRO,1,1,1,1,0
AKTX,1,1,1,1,0
AKYA,1,1,1,1,0
AL,1,0,1,0,0
ALAB,1,1,1,1,0
ALAI,1,0,1,0,0
ALAR,1,1,1,1,0
ALB,1,0,1,0,0
ALB$A,1,0,1,0,0
ALBT,1,1,1,1,0
ALC,1,0,1,0,0
ALCE,1,1,1,1,0
ALCO,1,1,1,1,0
ALCY,1,1,1,1,0
ALCYU,1,1,1,1,0
ALCYW,1,0,1,1,0
ALDF,1,1,1,1,0
ALDFU,1,1,1,1,0
ALDFW,1,1,1,1,0
ALDX,1,1,1,1,0
ALE,1,0,1,0,0
ALEC,1,1,1,1,0
ALEX,1,0,1,0,0
ALF,1,1,1,1,0
ALFUU,1,1,1,1,0
ALFUW,1,1,1,1,0
ALG,1,0,1,0,0
ALGM,1,1,1,1,0
ALGN,1,1,1,1,0
ALGS,1,1,1,1,0
ALGT,1,1,1,1,0
ALHC,1,1,1,1,0
ALIT,1,0,1,0,0
ALK,1,0,1,0,0
ALKS,1,1,1,1,0
ALKT,1,1,1,1,0
ALL,1,0,1,0,0
ALL$B,1,0,1,0,0
ALL$H,1,0,1,0,0
ALL$I,1,0,1,0,0
ALL$J,1,0,1,0,0
ALLE,1,0,1,0,0
ALLK,1,1,1,1,0
ALLO,1,1,1,1,0
ALLR,1,1,1,1,0
ALLT,1,1,1,1,0
ALLY,1,0,1,0,0
ALMS,1,1,1,1,0
ALNT,1,1,1,1,0
ALNY,1,1,1,1,0
ALOT,1,1,1,1,0
ALRM,1,1,1,1,0
ALRS,1,1,1,1,0
ALSN,1,0,1,0,0
ALT,1,1,1,1,0
ALTG,1,0,1,0,0
ALTI,1,1,1,1,0
ALTL,1,0,1,0,0
ALTM,1,0,1,0,0
ALTO,1,1,1,1,0
ALTR,1,1,1,1,0
ALTS,1,1,1,1,0
ALTY,1,0,1,1,0
ALUR,1,0,1,0,0
ALV,1,0,1,0,0
ALVO,1,1,1,1,0
ALVOW,1,1,1,1,0
ALVR,1,1,1,1,0
ALX,1,0,1,0,0
ALXO,1,1,1,1,0
ALZN,1,1,1,1,0
AM,1,0,1,0,0
AMAL,1,1,1,1,0
AMAT,1,1,1,1,0
AMAX,1,0,1,0,0
AMBA,1,1,1,1,0
AMBC,1,0,1,0,0
AMBI,1,0,1,0,0
AMBO,1,0,1,0,0
AMBP,1,0,1,0,0
AMC,1,0,1,0,0
AMCR,1,0,1,0,0
AMCX,1,1,1,1,0
AMD,1,1,1,1,0
AMDG,1,0,1,1,0
AMDL,1,0,1,1,0
AMDS,1,0,1,1,0
AMDY,1,0,1,0,0
AME,1,0,1,0,0
AMED,1,1,1,1,0
AMG,1,0,1,0,0
AMGN,1,1,1,1,0
AMH,1,0,1,0,0
AMH$G,1,0,1,0,0
AMH$H,1,0,1,0,0
AMID,1,0,1,1,0
AMIX,1,1,1,1,0
AMJB,1,0,1,0,0
AMKR,1,1,1,1,0
AMLP,1,0,1,0,0
AMLX,1,1,1,1,0
AMN,1,0,1,0,0
AMOD,1,1,1,1,0
AMODW,1,1,1,1,0
AMOM,1,0,1,0,0
AMP,1,0,1,0,0
AMPD,1,0,1,0,0
AMPG,1,1,1,1,0
AMPGW,1,1,1,1,0
AMPH,1,1,1,1,0
AMPL,1,1,1,1,0
AMPS,1,0,1,0,0
AMPX,1,0,1,0,0
AMPY,1,0,1,0,0
AMR,1,0,1,0,0
AMRC,1,0,1,0,0
AMRK,1,1,1,1,0
AMRN,1,1,1,1,0
AMRX,1,1,1,1,0
AMS,1,0,1,0,0
AMSC,1,1,1,1,0
AMSF,1,1,1,1,0
AMST,1,1,1,1,0
AMT,1,0,1,0,0
AMTB,1,0,1,0,0
AMTD,1,0,1,0,0
AMTM,1,0,1,0,0
AMTX,1,1,1,1,0
AMUB,1,0,1,0,0
AMWD,1,1,1,1,0
AMWL,1,0,1,0,0
AMX,1,0,1,0,0
AMZA,1,0,1,0,0
AMZD,1,0,1,1,0
AMZN,1,1,1,1,0
AMZP,1,0,1,0,0
AMZU,1,0,1,1,0
AMZY,1,0,1,0,0
AMZZ,1,0,1,1,0
AN,1,0,1,0,0
ANAB,1,1,1,1,0
ANDE,1,1,1,1,0
ANEB,1,1,1,1,0
ANET,1,0,1,0,0
ANEW,1,0,1,0,0
ANF,1,0,1,0,0
ANG$A,1,0,1,0,0
ANG$B,1,0,1,0,0
ANG$D,1,0,1,0,0
ANGH,1,1,1,1,0
ANGHW,1,1,1,1,0
ANGI,1,1,1,1,0
ANGL,1,0,1,1,0
ANGO,1,1,1,1,0
ANIK,1,1,1,1,0
ANIP,1,1,1,1,0
ANIX,1,1,1,1,0
ANL,1,1,1,1,0
ANNA,1,1,1,1,0
ANNAW,1,1,1,1,0
ANNX,1,1,1,1,0
ANRO,1,0,1,0,0
ANSC,1,1,1,1,0
ANSCU,1,1,1,1,0
ANSCW,1,1,1,1,0
ANSS,1,1,1,1,0
ANTE,1,1,1,1,0
ANTX,1,1,1,1,0
ANVS,1,0,1,0,0
ANY,1,1,1,1,0
AOA,1,0,1,0,0
AOCT,1,0,1,0,0
AOD,1,0,1,0,0
AOHY,1,0,1,1,0
AOK,1,0,1,0,0
AOM,1,0,1,0,0
AOMN,1,0,1,0,0
AOMR,1,0,1,0,0
AON,1,0,1,0,0
AOR,1,0,1,0,0
AORT,1,0,1,0,0
AOS,1,0,1,0,0
AOSL,1,1,1,1,0
AOTG,1,0,1,1,0
AOUT,1,1,1,1,0
AP,1,0,1,0,0
AP.W,1,0,1,0,0
APA,1,1,1,1,0
APAM,1,0,1,0,0
APCB,1,0,1,0,0
APCX,1,1,1,1,0
APCXW,1,1,1,1,0
APD,1,0,1,0,0
APDN,1,1,1,1,0
APEI,1,1,1,1,0
APG,1,0,1,0,0
APGE,1,1,1,1,0
APH,1,0,1,0,0
API,1,1,1,1,0
APIE,1,0,1,0,0
APLD,1,1,1,1,0
APLE,1,0,1,0,0
APLM,1,1,1,1,0
APLMW,1,1,1,1,0
APLS,1,1,1,1,0
APLT,1,1,1,1,0
APLU,1,0,1,0,0
APLY,1,0,1,0,0
APM,1,1,1,1,0
APMU,1,0,1,0,0
APO,1,0,1,0,0
APO$A,1,0,1,0,0
APOC,1,0,1,0,0
APOG,1,1,1,1,0
APOS,1,0,1,0,0
APP,1,1,1,1,0
APPF,1,1,1,1,0
APPN,1,1,1,1,0
APPS,1,1,1,1,0
APRD,1,0,1,0,0
APRE,1,1,1,1,0
APRH,1,0,1,0,0
APRJ,1,0,1,0,0
APRP,1,0,1,0,0
APRQ,1,0,1,0,0
APRT,1,0,1,0,0
APRW,1,0,1,0,0
APRZ,1,0,1,0,0
APT,1,0,1,0,0
APTO,1,1,1,1,0
APTV,1,0,1,0,0
APUE,1,0,1,0,0
APVO,1,1,1,1,0
APWC,1,1,1,1,0
APYX,1,1,1,1,0
AQB,1,1,1,1,0
AQLT,1,0,1,0,0
AQMS,1,1,1,1,0
AQN,1,0,1,0,0
AQNB,1,0,1,0,0
AQST,1,1,1,1,0
AQU,1,1,1,1,0
AQUNR,1,1,1,1,0
AQUNU,1,1,1,1,0
AQWA,1,0,1,1,0
AR,1,0,1,0,0
ARAY,1,1,1,1,0
ARB,1,0,1,0,0
ARBB,1,1,1,1,0
ARBE,1,1,1,1,0
ARBEW,1,1,1,1,0
ARBK,1,1,1,1,0
ARBKL,1,1,1,1,0
ARCB,1,1,1,1,0
ARCC,1,1,1,1,0
ARCM,1,0,1,0,0
ARCO,1,0,1,0,0
ARCT,1,1,1,1,0
ARDC,1,0,1,0,0
ARDT,1,0,1,0,0
ARDX,1,1,1,1,0
ARE,1,0,1,0,0
AREA,1,0,1,0,0
AREB,1,1,1,1,0
AREBW,1,1,1,1,0
AREC,1,1,1,1,0
AREN,1,0,1,0,0
ARES,1,0,1,0,0
ARGD,1,0,1,0,0
ARGT,1,0,1,0,0
ARGX,1,1,1,1,0
ARHS,1,1,1,1,0
ARI,1,0,1,0,0
ARIS,1,0,1,0,0
ARKA,1,0,1,0,0
ARKB,1,0,1,0,0
ARKC,1,0,1,0,0
ARKD,1,0,1,0,0
ARKF,1,0,1,0,0
ARKG,1,0,1,0,0
ARKK,1,0,1,0,0
ARKO,1,1,1,1,0
ARKOW,1,1,1,1,0
ARKQ,1,0,1,0,0
ARKR,1,1,1,1,0
ARKW,1,0,1,0,0
ARKX,1,0,1,0,0
ARKY,1,0,1,0,0
ARKZ,1,0,1,0,0
ARL,1,0,1,0,0
ARLO,1,0,1,0,0
ARLP,1,1,1,1,0
ARLU,1,0,1,0,0
ARM,1,1,1,1,0
ARMG,1,0,1,1,0
ARMK,1,0,1,0,0
ARMN,1,0,1,0,0
ARMP,1,0,1,0,0
AROC,1,0,1,0,0
AROW,1,1,1,1,0
ARP,1,0,1,0,0
ARQ,1,1,1,1,0
ARQQ,1,1,1,1,0
ARQQW,1,1,1,1,0
ARQT,1,1,1,1,0
ARR,1,0,1,0,0
ARR$C,1,0,1,0,0
ARRY,1,1,1,1,0
ARTL,1,1,1,1,0
ARTNA,1,1,1,1,0
ARTV,1,1,1,1,0
ARTW,1,1,1,1,0
ARTY,1,0,1,0,0
ARVN,1,1,1,1,0
ARVR,1,0,1,1,0
ARW,1,0,1,0,0
ARWR,1,1,1,1,0
AS,1,0,1,0,0
ASA,1,0,1,0,0
ASAN,1,0,1,0,0
ASB,1,0,1,0,0
ASB$E,1,0,1,0,0
ASB$F,1,0,1,0,0
ASBA,1,0,1,0,0
ASC,1,0,1,0,0
ASEA,1,0,1,0,0
ASET,1,0,1,1,0
ASG,1,0,1,0,0
ASGI,1,0,1,0,0
ASGN,1,0,1,0,0
ASH,1,0,1,0,0
ASHR,1,0,1,0,0
ASHS,1,0,1,0,0
ASIA,1,0,1,0,0
ASIX,1,0,1,0,0
ASLE,1,1,1,1,0
ASM,1,0,1,0,0
ASMB,1,1,1,1,0
ASMF,1,0,1,0,0
ASMG,1,0,1,1,0
ASML,1,1,1,1,0
ASND,1,1,1,1,0
ASNS,1,1,1,1,0
ASO,1,1,1,1,0
ASPC,1,1,1,1,0
ASPCR,1,0,1,1,0
ASPCU,1,1,1,1,0
ASPI,1,1,1,1,0
ASPN,1,0,1,0,0
ASPS,1,1,1,1,0
ASR,1,0,1,0,0
ASRT,1,1,1,1,0
ASRV,1,1,1,1,0
ASST,1,1,1,1,0
ASTC,1,1,1,1,0
ASTE,1,1,1,1,0
ASTH,1,1,1,1,0
ASTI,1,1,1,1,0
ASTL,1,1,1,1,0
ASTLW,1,1,1,1,0
ASTS,1,1,1,1,0
ASUR,1,1,1,1,0
ASX,1,0,1,0,0
ASYS,1,1,1,1,0
ATAI,1,1,1,1,0
ATAT,1,1,1,1,0
ATCH,1,0,1,0,0
ATCOL,1,1,1,1,0
ATEC,1,1,1,1,0
ATEN,1,0,1,0,0
ATER,1,1,1,1,0
ATEST,1,0,1,0,0
ATEX,1,1,1,1,0
ATFV,1,0,1,0,0
ATGE,1,0,1,0,0
ATGL,1,1,1,1,0
ATH$A,1,0,1,0,0
ATH$B,1,0,1,0,0
ATH$C,1,0,1,0,0
ATH$D,1,0,1,0,0
ATH$E,1,0,1,0,0
ATHA,1,1,1,1,0
ATHE,1,1,1,1,0
ATHM,1,0,1,0,0
ATHS,1,0,1,0,0
ATI,1,0,1,0,0
ATKR,1,0,1,0,0
ATLC,1,1,1,1,0
ATLCL,1,1,1,1,0
ATLCP,1,1,1,1,0
ATLCZ,1,1,1,1,0
ATLN,1,1,1,1,0
ATLO,1,1,1,1,0
ATLX,1,1,1,1,0
ATMC,1,1,1,1,0
ATMCR,1,1,1,1,0
ATMCU,1,0,1,1,0
ATMCW,1,1,1,1,0
ATMP,1,0,1,0,0
ATMU,1,0,1,0,0
ATMV,1,1,1,1,0
ATMVR,1,1,1,1,0
ATMVU,1,1,1,1,0
ATNF,1,1,1,1,0
ATNFW,1,1,1,1,0
ATNI,1,1,1,1,0
ATNM,1,0,1,0,0
ATO,1,0,1,0,0
ATOM,1,1,1,1,0
ATOS,1,1,1,1,0
ATPC,1,1,1,1,0
ATR,1,0,1,0,0
ATRA,1,1,1,1,0
ATRC,1,1,1,1,0
ATRO,1,1,1,1,0
ATS,1,0,1,0,0
ATSG,1,1,1,1,0
ATUS,1,0,1,0,0
ATXG,1,1,1,1,0
ATXI,1,1,1,1,0
ATXS,1,1,1,1,0
ATYR,1,1,1,1,0
AU,1,0,1,0,0
AUB,1,0,1,0,0
AUB$A,1,0,1,0,0
AUBN,1,1,1,1,0
AUDC,1,1,1,1,0
AUGM,1,0,1,0,0
AUGP,1,0,1,0,0
AUGT,1,0,1,0,0
AUGU,1,0,1,0,0
AUGW,1,0,1,0,0
AUGZ,1,0,1,0,0
AUID,1,1,1,1,0
AUMI,1,0,1,1,0
AUNA,1,0,1,0,0
AUPH,1,1,1,1,0
AUR,1,1,1,1,0
AURA,1,1,1,1,0
AUROW,1,1,1,1,0
AUSF,1,0,1,0,0
AUST,1,0,1,0,0
AUTL,1,1,1,1,0
AUUD,1,1,1,1,0
AUUDW,1,1,1,1,0
AVA,1,0,1,0,0
AVAH,1,1,1,1,0
AVAL,1,0,1,0,0
AVAV,1,1,1,1,0
AVB,1,0,1,0,0
AVBP,1,1,1,1,0
AVD,1,0,1,0,0
AVDE,1,0,1,0,0
AVDL,1,1,1,1,0
AVDS,1,0,1,0,0
AVDV,1,0,1,0,0
AVDX,1,1,1,1,0
AVEE,1,0,1,0,0
AVEM,1,0,1,0,0
AVES,1,0,1,0,0
AVGE,1,0,1,0,0
AVGO,1,1,1,1,0
AVGR,1,1,1,1,0
AVGV,1,0,1,0,0
AVGX,1,0,1,1,0
AVIE,1,0,1,0,0
AVIG,1,0,1,0,0
AVIR,1,1,1,1,0
AVIV,1,0,1,0,0
AVK,1,0,1,0,0
AVL,1,0,1,1,0
AVLC,1,0,1,0,0
AVLV,1,0,1,0,0
AVMA,1,0,1,0,0
AVMC,1,0,1,0,0
AVMU,1,0,1,0,0
AVMV,1,0,1,0,0
AVNM,1,0,1,0,0
AVNS,1,0,1,0,0
AVNT,1,0,1,0,0
AVNV,1,0,1,0,0
AVNW,1,1,1,1,0
AVO,1,1,1,1,0
AVPT,1,1,1,1,0
AVPTW,1,1,1,1,0
AVR,1,1,1,1,0
AVRE,1,0,1,0,0
AVS,1,0,1,1,0
AVSC,1,0,1,0,0
AVSD,1,0,1,0,0
AVSE,1,0,1,0,0
AVSF,1,0,1,0,0
AVSU,1,0,1,0,0
AVT,1,1,1,1,0
AVTE,1,1,1,1,0
AVTR,1,0,1,0,0
AVTX,1,1,1,1,0
AVUS,1,0,1,0,0
AVUV,1,0,1,0,0
AVXC,1,0,1,1,0
AVXL,1,1,1,1,0
AVY,1,0,1,0,0
AWAY,1,0,1,0,0
AWEG,1,0,1,0,0
AWF,1,0,1,0,0
AWH,1,1,1,1,0
AWI,1,0,1,0,0
AWK,1,0,1,0,0
AWP,1,0,1,0,0
AWR,1,0,1,0,0
AWRE,1,1,1,1,0
AWX,1,0,1,0,0
AX,1,0,1,0,0
AXDX,1,1,1,1,0
AXGN,1,1,1,1,0
AXIL,1,0,1,0,0
AXL,1,0,1,0,0
AXON,1,1,1,1,0
AXP,1,0,1,0,0
AXR,1,0,1,0,0
AXS,1,0,1,0,0
AXS$E,1,0,1,0,0
AXSM,1,1,1,1,0
AXTA,1,0,1,0,0
AXTI,1,1,1,1,0
AYI,1,0,1,0,0
AYRO,1,1,1,1,0
AYTU,1,1,1,1,0
AZ,1,1,1,1,0
AZEK,1,0,1,0,0
AZI,1,1,1,1,0
AZN,1,1,1,1,0
AZNH,1,0,1,0,0
AZO,1,0,1,0,0
AZPN,1,1,1,1,0
AZTA,1,1,1,1,0
AZTD,1,0,1,0,0
AZTR,1,0,1,0,0
AZUL,1,0,1,0,0
AZZ,1,0,1,0,0
B,1,0,1,0,0
BA,1,0,1,0,0
BA$A,1,0,1,0,0
BAB,1,0,1,0,0
BABA,1,0,1,0,0
BABO,1,0,1,0,0
BABX,1,0,1,1,0
BAC,1,0,1,0,0
BAC$B,1,0,1,0,0
BAC$E,1,0,1,0,0
BAC$K,1,0,1,0,0
BAC$L,1,0,1,0,0
BAC$M,1,0,1,0,0
BAC$N,1,0,1,0,0
BAC$O,1,0,1,0,0
BAC$P,1,0,1,0,0
BAC$Q,1,0,1,0,0
BAC$S,1,0,1,0,0
BACK,1,1,1,1,0
BACQ,1,1,1,1,0
BACQR,1,1,1,1,0
BACQU,1,1,1,1,0
BAER,1,1,1,1,0
BAERW,1,1,1,1,0
BAFE,1,0,1,1,0
BAFN,1,1,1,1,0
BAH,1,0,1,0,0
BAI,1,0,1,0,0
BAK,1,0,1,0,0
BALI,1,0,1,0,0
BALL,1,0,1,0,0
BALT,1,0,1,0,0
BALY,1,0,1,0,0
BAM,1,0,1,0,0
BAMA,1,0,1,0,0
BAMB,1,0,1,0,0
BAMD,1,0,1,0,0
BAMG,1,0,1,0,0
BAMO,1,0,1,0,0
BAMU,1,0,1,0,0
BAMV,1,0,1,0,0
BAMY,1,0,1,0,0
BANC,1,0,1,0,0
BAND,1,1,1,1,0
BANF,1,1,1,1,0
BANFP,1,1,1,1,0
BANL,1,1,1,1,0
BANR,1,1,1,1,0
BANX,1,1,1,1,0
BAOS,1,1,1,1,0
BAP,1,0,1,0,0
BAPR,1,0,1,0,0
BAR,1,0,1,0,0
BARK,1,0,1,0,0
BASE,1,1,1,1,0
BATL,1,0,1,0,0
BATRA,1,1,1,1,0
BATRK,1,1,1,1,0
BATT,1,0,1,0,0
BAUG,1,0,1,0,0
BAX,1,0,1,0,0
BAYA,1,1,1,1,0
BAYAR,1,1,1,1,0
BAYAU,1,1,1,1,0
BB,1,0,1,0,0
BBAG,1,0,1,0,0
BBAI,1,0,1,0,0
BBAR,1,0,1,0,0
BBAX,1,0,1,0,0
BBBI,1,0,1,0,0
BBBL,1,0,1,0,0
BBBS,1,0,1,0,0
BBC,1,0,1,0,0
BBCA,1,0,1,0,0
